FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
3008927	hCCR6+	CCR6+	ANA36	1065886
3008928	hCCR4+	CCR4+	ANA34	1065886
3008929	hPTPRC/iso:h6-	CD45RA-	ANA816	1065887
3008930	hCCR6+	CCR6+	ANA36	1065887
3008931	hCXCR3+	CXCR3+	ANA76	1065887
3008932	hPTPRC/iso:h6-	CD45RA-	ANA816	1065888
3008933	hCCR6+	CCR6+	ANA36	1065888
3008934	hCXCR3+	CXCR3+	ANA76	1065888
3008935	hPTPRC/iso:h6-	CD45RA-	ANA816	1065889
3008936	hCCR6-	CCR6-	ANA36	1065889
3008937	hCCR4+	CCR4+	ANA34	1065889
3008938	hPTPRC/iso:h6-	CD45RA-	ANA816	1065890
3008939	hCCR6-	CCR6-	ANA36	1065890
3008940	hCCR4+	CCR4+	ANA34	1065890
3008941	hPTPRC/iso:h6-	CD45RA-	ANA816	1065891
3008942	hCXCR5-	CXCR5-	ANA78	1065891
3008943	hCXCR3-	CXCR3-	ANA76	1065891
3008944	hCCR6-	CCR6-	ANA36	1065891
3008945	hPTPRC/iso:h6-	CD45RA-	ANA816	1065892
3008946	hCXCR5-	CXCR5-	ANA78	1065892
3008947	hCXCR3-	CXCR3-	ANA76	1065892
3008948	hCCR6-	CCR6-	ANA36	1065892
3008949	hPTPRC/iso:h6-	CD45RA-	ANA816	1065893
3008950	hCXCR5-	CXCR5-	ANA78	1065893
3008951	hCXCR3-	CXCR3-	ANA76	1065893
3008952	hCCR6+	CCR6+	ANA36	1065893
3008953	hPTPRC/iso:h6-	CD45RA-	ANA816	1065894
3008954	hCXCR5-	CXCR5-	ANA78	1065894
3008955	hCXCR3-	CXCR3-	ANA76	1065894
3008956	hCCR6+	CCR6+	ANA36	1065894
3008957	hPTPRC/iso:h6-	CD45RA-	ANA816	1065895
3008958	hCXCR5-	CXCR5-	ANA78	1065895
3008959	hCXCR3+	CXCR3+	ANA76	1065895
3008960	hCCR6+	CCR6+	ANA36	1065895
3008961	hPTPRC/iso:h6-	CD45RA-	ANA816	1065896
3008962	hCXCR5-	CXCR5-	ANA78	1065896
3008963	hCXCR3+	CXCR3+	ANA76	1065896
3008964	hCCR6+	CCR6+	ANA36	1065896
3008965	hPTPRC/iso:h6-	CD45RA-	ANA816	1065897
3008966	hCXCR5-	CXCR5-	ANA78	1065897
3008967	hPTPRC/iso:h6-	CD45RA-	ANA816	1065898
3008968	hCXCR5-	CXCR5-	ANA78	1065898
3008969	hPTPRC/iso:h6-	CD45RA-	ANA816	1065899
3008970	hCXCR5+	CXCR5+	ANA78	1065899
3008971	hCXCR3-	CXCR3-	ANA76	1065899
3008972	hCCR6-	CCR6-	ANA36	1065899
3008973	hPTPRC/iso:h6-	CD45RA-	ANA816	1065900
3008974	hCXCR5+	CXCR5+	ANA78	1065900
3008975	hCXCR3-	CXCR3-	ANA76	1065900
3008976	hCCR6-	CCR6-	ANA36	1065900
3008977	hPTPRC/iso:h6-	CD45RA-	ANA816	1065901
3008978	hCXCR5+	CXCR5+	ANA78	1065901
3008979	hCXCR3-	CXCR3-	ANA76	1065901
3008980	hCCR6+	CCR6+	ANA36	1065901
3008981	hPTPRC/iso:h6-	CD45RA-	ANA816	1065902
3008982	hCXCR5+	CXCR5+	ANA78	1065902
3008983	hCXCR3-	CXCR3-	ANA76	1065902
3008984	hCCR6+	CCR6+	ANA36	1065902
3008985	hPTPRC/iso:h6-	CD45RA-	ANA816	1065903
3008986	hCXCR5+	CXCR5+	ANA78	1065903
3008987	hCXCR3+	CXCR3+	ANA76	1065903
3008988	hCCR6+	CCR6+	ANA36	1065903
3008989	hPTPRC/iso:h6-	CD45RA-	ANA816	1065904
3008990	hCXCR5+	CXCR5+	ANA78	1065904
3008991	hCXCR3+	CXCR3+	ANA76	1065904
3008992	hCCR6+	CCR6+	ANA36	1065904
3008993	hPTPRC/iso:h6-	CD45RA-	ANA816	1065905
3008994	hCXCR5+	CXCR5+	ANA78	1065905
3008995	hPTPRC/iso:h6-	CD45RA-	ANA816	1065906
3008996	hCXCR5+	CXCR5+	ANA78	1065906
3008997	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1065907
3008998	hPTPRC/iso:h6-	CD45RA-	ANA816	1065908
3008999	hCCR7-	CCR7-	ANA37	1065908
3009000	hPTPRC/iso:h6-	CD45RA-	ANA816	1065909
3009001	hCCR7-	CCR7-	ANA37	1065909
3009002	hPTPRC/iso:h6-	CD45RA-	ANA816	1065910
3009003	hCCR7+	CCR7+	ANA37	1065910
3009004	hPTPRC/iso:h6-	CD45RA-	ANA816	1065911
3009005	hCCR7+	CCR7+	ANA37	1065911
3009006	hCXCR5+	CXCR5+	ANA78	1065912
3009007	hCD3E+	CD3+	ANA809	1065913
3009008	hCD4+	CD4+	ANA41	1065913
3009009	hCXCR5+	CXCR5+	ANA78	1065914
3009010	hPTPRC/iso:h6-	CD45RA-	ANA816	1065914
3009011	hCXCR5+	CXCR5+	ANA78	1065915
3009012	hPTPRC/iso:h6-	CD45RA-	ANA816	1065915
3009013	hICOS+	ICOS+	ANA898	1065915
3009014	hCXCR5+	CXCR5+	ANA78	1065916
3009015	hPTPRC/iso:h6-	CD45RA-	ANA816	1065916
3009016	hICOS+	ICOS+	ANA898	1065916
3009017	hCXCR5+	CXCR5+	ANA78	1065917
3009018	hPTPRC/iso:h6-	CD45RA-	ANA816	1065917
3009019	hICOS+	ICOS+	ANA898	1065917
3009020	hPDCD1+	PD1+	ANA818	1065917
3009021	hCXCR5+	CXCR5+	ANA78	1065918
3009022	hPTPRC/iso:h6-	CD45RA-	ANA816	1065918
3009023	hICOS+	ICOS+	ANA898	1065918
3009024	hPDCD1+	PD1+	ANA818	1065918
3009025	hIL2RA++	CD25++	ANA163	1065919
3009026	hIL7R+-	CD127+-	ANA182	1065919
3009027	hCD27++	CD27++	ANA40	1065920
3009028	hCD38++	CD38++	ANA808	1065920
3009029	hCD27++	CD27++	ANA40	1065921
3009030	hCD38++	CD38++	ANA808	1065921
3009031	hCD27-	CD27-	ANA40	1065922
3009032	hCD38++	CD38++	ANA808	1065922
3009033	hCD24-	CD24-	ANA807	1065922
3009034	hCD27-	CD27-	ANA40	1065923
3009035	hCD38++	CD38++	ANA808	1065923
3009036	hCD24-	CD24-	ANA807	1065923
3009037	hCD24-	CD24-	ANA807	1065924
3009038	hCD24-	CD24-	ANA807	1065925
3009039	PTPRC/iso:CD45RO+	B220+	ANA822	1065926
3009040	PTPRC/iso:CD45RO+	B220+	ANA822	1065927
3009041	hCR2-	CD21-	ANA919	1065928
3009042	hCR2-	CD21-	ANA919	1065929
3009043	hFAS+	CD95+	ANA85	1065930
3009044	hFAS+	CD95+	ANA85	1065931
3009045	hCXCR3+	CXCR3+	ANA76	1065932
3009046	hCXCR3+	CXCR3+	ANA76	1065933
3009047	hFAS+	CD95+	ANA85	1065934
3009048	hFAS+	CD95+	ANA85	1065935
3009049	PTPRC/iso:CD45RO+	B220+	ANA822	1065936
3009050	PTPRC/iso:CD45RO+	B220+	ANA822	1065937
3009051	hCR2-	CD21-	ANA919	1065938
3009052	hCR2-	CD21-	ANA919	1065939
3009053	hCD24-	CD24-	ANA807	1065940
3009054	hCD24-	CD24-	ANA807	1065941
3009055	hCXCR3+	CXCR3+	ANA76	1065942
3009056	hCXCR3+	CXCR3+	ANA76	1065943
3009057	hCD24-	CD24-	ANA807	1065944
3009058	hCD24-	CD24-	ANA807	1065945
3009059	hFAS+	CD95+	ANA85	1065946
3009060	hFAS+	CD95+	ANA85	1065947
3009061	PTPRC/iso:CD45RO+	B220+	ANA822	1065948
